code,name,sigunguCode
11010560,평창동,11010
11050640,자양1동,11050
22510140,유가읍,22510
22510360,구지면,22510
23010520,연안동,23010
23010530,신포동,23010
23010540,신흥동,23010
23010560,도원동,23010
11050650,자양2동,11050
23010570,율목동,23010
23010580,동인천동,23010
23010670,개항동,23010
23010670,개항동,23010
23010650,영종동,23010
23010660,영종1동,23010
23010630,용유동,23010
23010640,운서동,23010
11050660,자양3동,11050
23020510,만석동,23020
23020520,화수1·화평동,23020
23020530,화수2동,23020
23020550,송현1·2동,23020
23020570,송현3동,23020
23020580,송림1동,23020
23020590,송림2동,23020
23020600,송림3·5동,23020
23020610,송림4동,23020
23020630,송림6동,23020
23020640,금창동,23020
23090750,숭의1·3동,23090
23090520,숭의2동,23090
23090540,숭의4동,23090
23090760,용현1·4동,23090
23090560,용현2동,23090
23090570,용현3동,23090
23090590,용현5동,23090
23090600,학익1동,23090
23090610,학익2동,23090
23090620,도화1동,23090
23090770,도화2·3동,23090
23090650,주안1동,23090
23090660,주안2동,23090
23090670,주안3동,23090
11060810,용신동,11060
23090680,주안4동,23090
23090690,주안5동,23090
23090700,주안6동,23090
23090710,주안7동,23090
23090720,주안8동,23090
23090730,관교동,23090
23090740,문학동,23090
23040510,옥련1동,23040
23040600,옥련2동,23040
23040520,선학동,23040
23040530,연수1동,23040
23040540,연수2동,23040
23040550,연수3동,23040
23040560,청학동,23040
23040570,동춘1동,23040
23040580,동춘2동,23040
23040640,송도1동,23040
23040650,송도3동,23040
23040660,송도2동,23040
23040590,동춘3동,23040
23050510,구월1동,23050
23050521,구월2동,23050
23050530,구월3동,23050
23050540,구월4동,23050
23050550,간석1동,23050
23050561,간석2동,23050
11060820,제기동,11060
23050570,간석3동,23050
23050580,간석4동,23050
23050590,만수1동,23050
23050600,만수2동,23050
23050610,만수3동,23050
23050620,만수4동,23050
23050630,만수5동,23050
23050640,만수6동,23050
23050750,장수서창동,23050
23050670,남촌도림동,23050
23050720,논현1동,23050
23050730,논현2동,23050
23050740,논현고잔동,23050
23060510,부평1동,23060
23060520,부평2동,23060
23060530,부평3동,23060
23060540,부평4동,23060
23060550,부평5동,23060
11010570,무악동,11010
11060830,전농1동,11060
23060560,부평6동,23060
23060570,산곡1동,23060
23060580,산곡2동,23060
23060590,산곡3동,23060
23060600,산곡4동,23060
23060610,청천1동,23060
23060620,청천2동,23060
23060630,갈산1동,23060
23060640,갈산2동,23060
23060650,삼산1동,23060
11060840,전농2동,11060
23060720,삼산2동,23060
23060660,부개1동,23060
23060670,부개2동,23060
23060680,부개3동,23060
23060690,일신동,23060
23060700,십정1동,23060
23060710,십정2동,23060
23070510,효성1동,23070
23070520,효성2동,23070
23070530,계산1동,23070
23070540,계산2동,23070
23070550,계산3동,23070
23070620,계산4동,23070
23070560,작전1동,23070
23070570,작전2동,23070
23070580,작전서운동,23070
23070630,계양1동,23070
23070640,계양3동,23070
23070610,계양2동,23070
23080510,검암경서동,23080
23080530,연희동,23080
23080540,가정1동,23080
23080550,가정2동,23080
23080560,가정3동,23080
23080730,신현원창동,23080
23080740,청라1동,23080
11060910,답십리1동,11060
23080780,청라2동,23080
23080790,청라3동,23080
23080580,석남1동,23080
23080590,석남2동,23080
23080600,석남3동,23080
23080620,가좌1동,23080
23080630,가좌2동,23080
23080640,가좌3동,23080
23080650,가좌4동,23080
23080800,검단동,23080
11060860,답십리2동,11060
23080840,오류왕길동,23080
23080850,당하동,23080
23080810,불로대곡동,23080
23080870,원당동,23080
23510110,강화읍,23510
23510310,선원면,23510
23510320,불은면,23510
23510330,길상면,23510
23510340,화도면,23510
23510350,양도면,23510
23510360,내가면,23510
23510370,하점면,23510
23510380,양사면,23510
23510390,송해면,23510
23510400,교동면,23510
23510410,삼산면,23510
23510420,서도면,23510
23520310,북도면,23520
23520320,연평면,23520
23520330,백령면,23520
23520340,대청면,23520
23520350,덕적면,23520
23520360,자월면,23520
23520370,영흥면,23520
24010510,충장동,24010
24010540,동명동,24010
24010560,계림1동,24010
24010580,계림2동,24010
24010590,산수1동,24010
24010610,산수2동,24010
24010620,지산1동,24010
24010630,지산2동,24010
11060870,장안1동,11060
24010640,서남동,24010
24010680,학동,24010
24010710,학운동,24010
24010720,지원1동,24010
24010730,지원2동,24010
24020510,양동,24020
11010580,교남동,11010
11060880,장안2동,11060
24020530,양3동,24020
24020540,농성1동,24020
24020550,농성2동,24020
24020560,광천동,24020
24020570,유덕동,24020
24020660,치평동,24020
24020580,상무1동,24020
24020590,상무2동,24020
24020600,화정1동,24020
24020610,화정2동,24020
24020620,화정3동,24020
24020630,화정4동,24020
24020640,서창동,24020
24020680,금호1동,24020
24020690,금호2동,24020
24020670,풍암동,24020
24020700,동천동,24020
24030510,양림동,24030
24030520,방림1동,24030
24030530,방림2동,24030
24030540,사직동,24030
24030570,월산동,24030
24030600,월산4동,24030
24030610,월산5동,24030
24030620,백운1동,24030
24030630,백운2동,24030
